,Year,Team,Cmp %,Yds/Att,Rate,1st%,Win_loss_perc,Points_diff,Yds_per_play_offense,Score_pct,Turnover_pct,TD_to_Turnover_Rate,Sacks_taken_per_game,Penalties_per_game,Turnovers_per_game,Big_Plays,Big_Plays_per_game,Big_plays_per_game
91,2012,Seahawks,64.0,8.0,100.6,37.8,0.688,167,5.8,39.4,18.5,1.5,2.06,6.88,1.12,56,3.5,3.5
92,2012,Steelers,61.7,7.0,88.1,35.2,0.5,22,5.2,33.9,18.3,0.9,2.31,5.75,1.88,56,3.5,3.5
93,2012,Texans,63.9,7.3,89.2,37.0,0.75,85,5.5,35.6,9.1,1.29,1.75,6.75,1.06,54,3.38,3.38
94,2012,Titans,58.9,6.6,76.9,30.7,0.375,-141,5.2,27.7,13.5,0.61,2.44,6.62,1.75,49,3.06,3.06
95,2012,Vikings,62.1,6.1,81.2,33.8,0.625,31,5.4,37.9,14.2,0.78,2.0,5.62,1.44,31,1.94,1.94
96,2013,Bears,64.4,7.7,96.9,37.1,0.5,-33,6.0,39.0,16.1,1.39,1.88,5.31,1.44,64,4.0,4.0
97,2013,Bengals,62.0,7.4,89.0,34.9,0.688,125,5.4,32.3,11.5,1.1,1.81,6.38,1.88,72,4.5,4.5
98,2013,Bills,57.3,6.5,75.0,28.5,0.375,-49,4.8,29.9,12.6,0.59,3.0,6.88,1.69,55,3.44,3.44
99,2013,Broncos,68.3,8.2,114.4,43.4,0.813,207,6.3,47.5,6.8,2.12,1.25,7.31,1.62,81,5.06,5.06
100,2013,Browns,55.6,6.4,75.7,29.4,0.25,-98,5.0,26.2,21.3,0.9,3.06,6.5,1.81,66,4.12,4.12
101,2013,Buccaneers,56.6,6.2,79.6,30.5,0.25,-101,4.5,27.1,16.3,1.05,2.94,7.56,1.31,46,2.88,2.88
102,2013,Cardinals,63.2,7.5,83.9,35.7,0.625,55,5.3,33.0,15.3,0.77,2.56,6.0,1.94,58,3.62,3.62
